tenure_months,monthly_charges,total_charges,contract_type,support_tickets,has_fiber,paperless_billing,payment_auto,avg_latency_ms,churned
42,113.79,4506.48,1,0,0,0,1,22.4,0
12,62.36,706.9,0,3,0,1,0,76.0,1
8,76.71,566.77,1,0,0,0,0,66.6,0
40,75.03,3039.84,2,2,0,0,1,102.3,0
27,68.64,1734.58,2,6,1,1,1,57.8,1
32,27.19,803.62,1,8,1,1,1,53.5,1
54,35.5,1939.27,1,2,1,1,0,79.8,0
41,53.01,2162.15,1,9,1,1,0,102.2,1
9,25.07,245.51,2,4,1,1,1,87.5,0
46,35.8,1610.88,0,7,0,0,1,83.0,1
64,27.06,1702.5,1,6,1,0,1,83.3,0
46,87.27,3622.66,1,3,0,0,0,91.3,0
24,45.27,1089.85,0,2,1,1,1,106.6,1
7,64.66,443.61,2,8,1,1,1,47.5,1
25,25.73,651.84,0,7,0,0,1,60.6,1
69,29.15,1911.69,1,9,0,0,0,59.3,0
45,79.23,3311.58,1,1,0,1,1,48.5,0
44,93.04,3706.53,1,2,0,0,1,88.9,0
68,48.81,3346.67,2,1,1,1,0,59.1,0
65,51.97,3389.97,0,9,0,0,1,68.9,1
46,92.1,4191.88,0,4,1,1,0,47.9,0
45,114.5,5134.62,1,1,0,0,0,47.7,0
1,66.95,66.66,2,5,0,0,1,78.4,0
23,62.39,1499.49,2,5,0,1,1,20.7,1
22,118.31,2628.15,0,2,1,0,1,57.2,0
17,21.14,341.54,2,1,0,1,0,77.9,0
38,69.12,2835.48,2,5,1,1,0,108.1,1
67,61.06,4316.88,2,2,0,0,1,75.7,0
20,36.23,722.06,1,9,0,0,1,57.3,1
14,107.32,1521.03,0,3,0,1,0,74.1,1
9,63.32,570.76,2,8,0,1,1,24.7,1
32,88.92,2740.72,1,8,0,1,0,48.4,1
31,61.83,2095.96,0,4,0,0,1,102.2,1
29,93.67,2724.91,0,6,1,0,0,84.0,1
44,61.13,2799.0,1,5,0,1,0,55.5,0
50,52.15,2485.24,2,4,0,0,0,81.6,0
6,109.59,659.48,0,4,0,1,1,44.3,1
64,89.04,5147.89,0,4,0,0,1,85.7,0
12,99.16,1151.64,0,9,0,0,1,87.9,1
71,60.78,4109.88,1,9,0,0,0,131.0,1
24,39.18,911.55,1,4,0,1,1,54.4,0
3,118.45,366.6,0,0,0,0,1,70.7,0
56,84.65,4936.39,2,6,1,0,0,44.0,1
18,59.47,1055.63,1,0,0,0,0,33.7,0
8,27.45,209.46,1,8,1,0,1,85.4,1
1,45.32,44.02,1,8,1,0,0,91.0,1
1,52.53,50.05,0,7,1,0,0,67.5,1
12,33.39,407.54,2,0,1,0,1,63.9,0
68,104.32,7296.95,0,9,1,1,1,93.7,1
6,101.49,656.78,2,8,1,0,0,85.3,1
30,27.51,846.39,0,2,1,0,1,86.4,0
69,87.07,6050.12,1,4,0,1,0,69.7,0
68,25.61,1647.7,2,7,1,0,1,74.0,1
59,68.39,3694.03,1,1,1,1,0,43.4,0
19,52.18,1025.53,2,4,0,0,1,88.4,0
28,86.57,2614.8,1,8,1,1,1,57.7,1
26,50.17,1433.46,0,7,0,1,1,96.4,1
35,57.68,2148.09,0,1,0,0,1,82.8,0
66,46.96,3378.28,0,5,0,1,1,58.4,0
58,59.54,3109.19,2,2,1,1,1,50.7,0
44,102.91,4979.75,0,3,0,1,1,52.6,0
10,55.07,565.56,1,4,0,1,0,104.9,1
20,43.93,795.84,1,6,1,0,1,75.8,0
52,110.34,5869.55,2,8,0,0,0,93.5,1
18,83.45,1441.35,1,7,0,0,0,47.4,1
34,59.62,1908.65,0,4,1,1,0,77.4,1
64,74.04,4430.26,1,5,1,1,0,52.1,0
72,28.11,1989.06,0,5,1,0,0,69.9,1
68,40.0,2821.59,1,5,0,1,1,48.9,0
68,81.96,6079.27,0,1,1,0,1,48.0,0
3,31.72,101.36,1,7,1,0,0,25.6,1
60,116.22,7588.92,0,1,0,0,0,32.5,0
59,27.5,1501.78,0,0,0,0,0,57.0,0
33,71.83,2317.33,1,1,0,0,1,37.3,0
29,98.05,3061.7,0,0,1,1,1,104.8,0
61,71.63,4705.74,2,3,0,1,1,85.4,0
54,27.11,1440.68,0,6,1,0,1,92.2,1
51,38.81,2105.99,1,8,0,0,1,91.2,0
30,65.51,2126.61,1,4,0,1,0,92.9,0
8,113.88,829.38,0,6,0,0,0,83.6,1
8,37.41,325.37,1,5,0,0,0,62.4,1
60,22.19,1272.77,2,6,1,1,1,70.9,0
45,61.02,2912.82,0,8,0,1,1,72.5,1
12,23.93,285.7,1,3,1,1,0,51.8,1
53,43.8,2118.05,2,6,0,1,0,26.1,0
25,93.73,2231.79,2,5,1,1,1,103.4,1
41,111.42,4536.92,1,0,0,0,0,101.0,0
50,97.98,4706.29,1,7,0,1,0,127.7,1
20,79.73,1486.15,1,5,1,1,0,45.1,1
53,25.47,1286.43,0,7,1,0,1,125.2,1
11,39.83,472.41,1,7,1,0,0,88.6,1
31,93.8,3046.25,2,1,1,1,1,47.9,0
26,62.94,1579.6,0,3,0,0,1,94.5,0
51,44.17,2241.3,0,8,0,0,1,81.6,1
30,103.06,3294.58,1,0,1,0,0,102.2,0
25,112.02,2524.0,1,8,0,1,1,75.8,0
45,40.76,1919.39,1,5,0,0,0,77.0,0
27,100.47,2710.32,1,6,1,0,1,75.6,1
62,25.33,1723.81,0,6,0,0,0,54.1,1
40,60.78,2578.15,0,4,1,1,1,112.4,1
26,58.07,1481.5,1,3,0,1,0,28.9,0
47,65.09,2807.78,0,2,0,0,0,35.2,0
48,92.72,4102.34,0,2,1,1,0,13.5,0
63,94.36,6106.81,0,4,0,0,1,56.5,0
12,109.42,1239.02,2,2,0,1,0,77.6,0
52,112.85,6334.48,0,6,1,0,0,70.7,1
6,107.39,660.71,2,0,1,0,1,44.4,0
40,83.9,3314.62,1,9,0,1,1,55.3,0
3,19.35,56.89,1,7,0,1,1,93.6,1
9,31.85,310.85,1,5,0,1,0,82.8,1
41,96.76,4057.71,2,1,0,1,0,79.1,0
15,38.37,547.03,1,4,0,0,0,87.1,0
42,108.65,4568.78,1,7,0,1,1,75.1,1
41,56.23,2152.69,0,2,1,0,1,47.3,0
34,30.51,1111.32,2,0,1,1,0,69.6,0
48,45.48,2041.91,1,9,0,1,1,72.5,0
7,48.64,326.25,2,4,1,1,0,69.7,1
56,60.77,3099.83,1,0,0,1,0,64.2,0
46,49.37,2327.31,2,5,0,1,1,55.7,0
61,34.86,2196.83,0,3,0,1,0,82.9,0
35,59.2,2069.04,1,0,0,1,1,45.8,0
22,109.35,2539.88,0,0,0,1,0,70.7,0
2,80.26,165.26,2,3,0,1,0,34.4,0
54,100.34,5661.43,0,8,1,0,1,13.7,1
62,90.54,5305.8,0,6,1,1,0,68.6,1
14,45.14,638.76,2,0,0,1,1,65.3,0
56,87.57,4668.89,2,4,1,0,0,73.2,0
31,103.17,3458.97,0,2,1,0,1,61.2,1
69,65.95,4288.41,2,0,0,1,0,50.6,0
10,75.52,731.77,0,2,0,0,0,115.1,1
19,89.07,1722.95,0,0,0,0,0,69.2,0
47,38.93,1659.34,2,1,1,0,0,73.3,0
12,101.51,1146.25,2,4,1,0,0,104.4,1
41,52.65,2335.8,1,0,1,1,1,110.3,0
65,66.61,4196.97,1,9,0,1,0,30.3,1
7,72.79,536.25,0,1,1,0,1,86.8,1
7,19.44,136.49,1,1,1,0,1,17.6,0
21,47.37,992.84,0,3,1,0,0,109.5,1
72,97.69,7378.64,2,5,1,0,1,117.5,0
55,107.84,5541.05,0,5,0,1,1,41.8,1
30,113.39,3367.89,0,8,0,1,1,20.2,1
71,93.2,7126.89,0,7,1,1,0,89.6,1
31,69.77,2097.39,1,4,0,0,0,64.3,0
31,51.81,1493.14,0,4,0,0,0,74.8,1
39,92.33,3574.88,1,4,0,0,0,60.0,1
2,58.9,115.56,1,3,1,1,0,91.4,1
