height_cm,weight_kg,weight_lb,steps_daily,resting_hr,schema_version,sensor_noise,vo2max
176.1,52.9,116.6,10345,61.1,3,0.4937,37.56
175.2,57.5,126.8,6398,52.2,3,0.1199,28.94
173.5,57.4,126.5,6972,66.6,3,0.6684,28.2
183.7,61.6,135.8,10609,65.7,3,0.319,33.99
174.0,59.6,131.5,6196,69.4,3,0.1678,24.16
177.0,52.7,116.2,6019,49.6,3,0.7236,32.86
164.6,50.9,112.3,3424,53.9,3,0.8831,20.81
172.5,53.5,118.0,2979,61.1,3,0.2288,19.79
172.0,61.5,135.6,3310,73.5,3,0.7141,17.22
176.7,55.1,121.5,7603,56.8,3,0.5345,35.78
171.0,54.4,120.0,11073,60.6,3,0.7933,37.22
163.2,49.6,109.4,12587,52.4,3,0.4227,46.33
170.6,62.8,138.5,10070,47.3,3,0.379,40.34
169.0,57.4,126.5,9727,65.7,3,0.374,33.89
166.8,57.6,127.1,5999,48.3,3,0.8565,34.68
173.1,60.6,133.5,8690,62.9,3,0.8087,33.43
167.6,55.3,121.9,2501,70.5,3,0.9902,14.59
157.0,46.6,102.8,14607,66.1,3,0.6741,49.8
165.7,49.8,109.9,8732,62.4,3,0.7493,34.51
173.0,57.7,127.3,6215,66.2,3,0.1706,28.73
175.6,51.2,112.9,10424,58.7,3,0.1113,39.94
166.7,52.3,115.3,13147,45.0,3,0.0602,48.48
166.9,56.4,124.4,10362,56.7,3,0.2527,40.42
158.6,53.3,117.4,11135,57.7,3,0.9333,40.12
165.0,49.7,109.5,8776,64.2,3,0.2201,39.77
155.5,46.6,102.7,10782,54.0,3,0.6759,48.12
173.4,52.2,115.1,11086,50.8,3,0.1768,42.24
167.2,54.7,120.5,5289,61.3,3,0.0741,23.3
173.9,57.1,125.8,9251,64.2,3,0.9537,33.53
169.4,53.4,117.7,4760,60.4,3,0.8217,26.46
157.8,38.8,85.5,7724,64.6,3,0.883,33.48
173.7,58.3,128.5,8172,67.7,3,0.2684,34.88
165.9,46.4,102.3,5879,63.2,3,0.4703,28.77
171.8,54.5,120.2,4970,57.8,3,0.2696,29.11
163.3,53.8,118.7,6792,69.6,3,0.8923,27.29
174.1,61.8,136.2,9754,58.5,3,0.4493,38.49
171.1,53.2,117.4,3765,57.2,3,0.2715,25.52
169.4,46.8,103.1,7287,70.7,3,0.1753,34.22
157.4,45.2,99.7,7421,59.0,3,0.1045,39.16
155.8,50.1,110.5,5533,64.4,3,0.8678,29.78
153.3,46.9,103.5,4837,71.2,3,0.1041,22.8
168.2,58.0,128.0,7559,65.8,3,0.3581,28.64
154.5,54.7,120.6,6363,60.2,3,0.3285,25.97
175.2,52.6,115.9,6704,69.3,3,0.4492,26.28
147.7,45.2,99.7,10194,60.3,3,0.0289,37.79
185.3,63.7,140.4,12674,65.0,3,0.9871,35.33
164.2,52.0,114.6,8358,57.8,3,0.3011,37.68
159.3,37.7,83.1,8350,55.5,3,0.9691,43.09
155.6,48.0,105.7,5803,48.5,3,0.9247,36.63
169.4,49.8,109.9,4271,49.6,3,0.5069,30.98
193.9,64.8,142.9,8678,54.0,3,0.7828,33.47
173.1,58.5,129.0,3686,48.9,3,0.4944,26.4
166.7,50.3,111.0,7583,60.1,3,0.9635,27.77
164.5,49.5,109.1,11498,52.4,3,0.8208,45.66
170.0,48.1,106.0,5230,46.8,3,0.6677,32.19
167.4,60.0,132.3,7902,73.8,3,0.8801,28.18
172.2,63.6,140.1,689,78.9,3,0.3473,9.23
172.4,54.4,119.9,10972,58.1,3,0.4811,39.05
166.9,51.8,114.1,7348,57.8,3,0.267,30.23
186.4,63.4,139.7,7238,65.3,3,0.4139,28.78
169.0,53.9,118.8,10222,56.3,3,0.684,39.02
186.1,60.4,133.1,8085,60.7,3,0.1544,30.33
167.4,50.8,111.9,6822,58.6,3,0.5745,31.71
167.4,61.0,134.4,9401,66.6,3,0.1221,30.91
160.1,40.8,89.9,12732,54.6,3,0.2508,48.27
163.1,52.6,115.9,10025,69.7,3,0.7549,33.21
164.9,46.9,103.4,3892,64.6,3,0.0115,24.03
167.9,51.8,114.3,9760,62.4,3,0.4594,35.99
171.3,62.3,137.3,12490,69.0,3,0.3401,36.55
153.3,52.1,114.8,7912,50.4,3,0.2244,38.57
157.3,39.5,87.2,5274,51.4,3,0.1343,30.95
168.5,50.7,111.8,11261,60.1,3,0.2659,41.23
174.7,60.8,134.1,7581,64.5,3,0.8185,34.36
161.0,50.6,111.6,3707,60.1,3,0.2535,27.81
182.0,65.5,144.5,5882,72.2,3,0.9245,21.36
170.4,55.7,122.8,5875,54.2,3,0.3687,28.93
172.0,45.3,99.8,8298,61.9,3,0.7684,37.49
151.4,49.2,108.5,9204,63.1,3,0.0689,36.4
166.1,51.7,114.0,4713,79.9,3,0.3543,20.66
164.8,52.4,115.6,3332,63.5,3,0.1087,18.01
169.4,54.4,120.0,6322,73.8,3,0.7936,27.17
182.7,59.2,130.5,15032,64.3,3,0.6896,44.66
164.4,57.4,126.5,8078,67.1,3,0.8088,29.11
164.8,48.9,107.7,8071,54.2,3,0.8407,34.8
169.9,48.5,106.9,6523,56.4,3,0.0655,30.08
161.6,51.5,113.4,7986,64.6,3,0.8451,29.76
189.2,69.1,152.4,13405,62.0,3,0.012,37.76
159.2,56.8,125.1,7850,66.2,3,0.0048,30.37
166.5,57.0,125.6,9483,60.3,3,0.4362,33.77
174.3,58.3,128.5,5143,63.2,3,0.3255,28.53
152.2,36.7,80.9,7853,67.8,3,0.2414,34.42
176.7,58.1,128.0,8374,51.1,3,0.5519,35.1
174.7,57.2,126.0,8655,70.7,3,0.8537,30.79
149.3,40.6,89.5,4551,60.8,3,0.2438,31.62
175.9,56.9,125.4,9670,72.5,3,0.3653,28.5
171.1,64.5,142.2,3810,64.9,3,0.0398,18.92
178.9,50.1,110.4,11358,66.0,3,0.3124,41.75
160.5,61.9,136.5,8907,62.3,3,0.6213,34.33
161.5,44.8,98.8,13012,38.7,3,0.9584,50.65
174.7,56.3,124.2,5304,71.4,3,0.2908,18.76
161.8,57.1,125.9,8854,65.5,3,0.2944,31.26
178.0,54.2,119.4,6012,60.5,3,0.5322,28.96
167.3,51.0,112.4,8466,52.6,3,0.7034,34.78
167.9,46.8,103.2,7293,74.9,3,0.1931,33.28
168.8,45.9,101.3,9900,52.0,3,0.014,42.19
173.7,58.6,129.3,3056,61.5,3,0.475,19.63
157.5,44.6,98.3,8078,64.6,3,0.3096,34.26
