customer_id,age,income,tenure_months,region,plan,support_tickets,churned
1120,43,14333.21,27,East,standard,0,0
1056,,20434.76,35,East,premium,0,0
1085,35,20430.18,63,East,premium,0,0
1121,31,75501.24,34,West,premium,3,1
1001,39,23850.24,94,South,standard,5,1
1168,52,21087.19,22,East,basic,2,0
1003,56,41189.7,73,South,standard,0,0
1042,65,36687.69,5,North,basic,0,1
1119,38,62087.46,52,North,premium,2,0
1131,49,18154.85,70,West,premium,1,0
1092,24,17298.69,6,West,standard,0,1
1005,27,55449.92,58,South,premium,0,0
1050,64,31734.85,19,North,premium,1,0
1113,,33639.43,37,N/A,basic,1,0
1020,41,36662.44,69,South,basic,0,0
1175,58,25982.09,40,East,standard,0,0
1029,71,33154.73,56,East,basic,0,0
1099,58,56536.57,35,South,basic,0,0
1030,27,69466.97,71,East,basic,1,0
1158,27,53096.03,62,North,basic,0,0
1089,34,40058.8,47,North,basic,0,0
1036,24,58821.07,9,South,standard,5,1
1081,49,120093.17,50,N/A,premium,0,0
1033,62,45201.68,21,West,basic,0,0
1125,30,57644.46,15,East,standard,1,0
1010,54,36472.11,46,North,basic,2,0
1156,60,39263.43,96,South,standard,2,0
1116,,23065.8,33,South,standard,3,0
1129,52,54809.11,63,South,standard,3,1
1047,65,12428.27,58,West,standard,0,0
1117,41,67122.79,71,South,basic,1,0
1004,30,27875.07,34,West,basic,3,1
1084,42,44105.98,70,West,basic,2,0
1026,33,13989.01,27,North,premium,2,0
1167,37,19298.58,6,North,premium,1,1
1016,61,,57,West,standard,1,0
1100,24,24249.37,74,N/A,basic,1,0
1017,70,36546.21,28,unknown,standard,5,0
1013,20,48917.33,78,South,basic,0,0
1045,61,31546.28,63,East,basic,1,0
1073,29,32381.64,8,North,standard,0,0
1111,43,19351.57,75,South,premium,1,0
1139,21,45670.78,30,North,standard,0,0
1115,26,83476.92,85,South,basic,2,0
1088,43,14872.67,45,South,premium,0,0
1067,44,18305.83,66,East,basic,3,1
1150,42,20575.57,23,West,basic,2,0
1165,65,98088.63,73,South,premium,2,0
1060,20,45618.9,94,East,basic,3,1
1048,26,79423.18,29,East,basic,3,1
1069,38,36197.09,69,North,basic,5,0
1076,45,75074.23,8,West,standard,0,0
1091,41,24431.54,42,North,standard,2,0
1097,72,21572.66,74,North,premium,2,0
1140,33,26702.33,68,North,basic,5,0
1148,26,19964.36,27,North,standard,1,0
1171,,22606.51,11,South,basic,0,0
1046,19,24126.36,29,North,premium,0,0
1061,43,58263.22,92,South,standard,0,0
1118,71,60591.11,65,West,premium,5,1
1022,,65222.26,53,N/A,premium,0,0
1057,41,40639.89,27,North,basic,1,0
1023,63,29155.39,47,North,premium,5,1
1039,68,29815.69,12,South,standard,1,0
1062,34,24447.49,79,South,premium,0,0
1078,33,42112.84,15,East,premium,0,0
1055,30,38964.38,91,East,premium,2,0
1155,70,13724.51,64,South,basic,0,0
1038,40,56658.1,16,West,basic,0,0
1172,32,51340.05,7,West,premium,0,0
1035,72,38342.18,95,South,premium,5,0
1142,66,20559.57,91,South,basic,0,0
1161,40,42473.17,65,West,standard,0,0
1027,70,39829.79,14,West,basic,5,0
1021,67,16755.48,46,South,basic,0,0
1146,37,43623.36,15,North,standard,5,1
1074,61,19862.7,48,West,standard,0,0
1071,22,29384.61,39,South,premium,0,0
1104,28,57159.7,22,West,premium,5,1
1145,50,77697.9,38,West,basic,0,0
1075,67,34078.53,74,South,premium,0,0
1051,20,60000.17,68,West,standard,5,1
1152,35,80850.08,56,East,basic,1,0
1082,51,40769.82,29,West,premium,0,0
1169,42,50635.43,4,South,premium,0,1
1093,35,51895.74,48,East,standard,3,1
1147,57,32541.88,26,North,basic,3,0
1083,45,30268.33,33,East,standard,0,0
1064,,31527.78,29,East,premium,2,0
1159,51,49555.93,33,N/A,standard,2,0
1090,33,83802.92,71,South,standard,1,0
1024,20,3019.86,36,South,basic,1,0
1173,61,18484.22,64,North,basic,1,0
1066,29,22986.57,48,North,basic,0,0
1077,23,55513.4,41,South,standard,1,0
1013,20,48917.33,78,South,basic,0,0
1154,,28400.8,34,East,standard,3,1
1012,54,80947.36,13,East,standard,3,1
1110,71,34061.82,94,South,basic,5,1
1054,,47568.24,5,West,premium,3,1
1127,23,16806.33,68,South,basic,5,0
1098,21,,87,West,basic,3,1
1172,32,51340.05,7,West,premium,0,0
1040,63,34353.71,58,N/A,standard,5,1
1174,29,21845.2,18,North,standard,3,1
1058,21,40000000.0,41,West,premium,1,0
1070,44,48231.52,44,East,basic,3,1
1025,58,55517.5,70,East,basic,2,0
1041,45,15392.59,36,South,standard,1,0
1137,20,59579.72,89,South,premium,1,0
1107,52,51577.68,36,West,standard,2,0
1136,71,,3,unknown,premium,0,1
1157,28,25736.55,76,North,basic,0,0
1063,27,32402.22,1,East,standard,1,1
1019,55,71696.56,62,West,basic,1,0
1079,50,74760.13,70,West,premium,1,0
1094,64,17562.83,18,East,standard,0,0
1163,46,19213.59,61,East,basic,0,0
1176,68,32599.55,86,West,premium,0,0
1089,34,40058.8,47,North,basic,0,0
1011,19,65016.25,44,West,standard,2,0
1180,59,,25,North,standard,3,1
1126,66,73654.92,31,North,premium,0,0
1134,29,,26,North,basic,0,0
1087,48,37432.14,64,South,standard,0,0
1037,25,64239.42,83,South,premium,3,0
1144,29,23386.9,65,West,premium,2,0
1080,36,17782.06,91,North,premium,2,0
1108,67,37880.23,91,North,basic,1,0
1002,39,24145.22,17,North,basic,1,0
1052,58,27013.34,65,West,standard,1,0
1096,,17814.39,3,South,basic,2,1
1018,37,22107.79,60,West,standard,5,1
1166,32,51257.62,70,South,basic,5,1
1103,46,14041.12,15,East,basic,0,0
1151,61,99309.17,11,West,premium,1,0
1178,71,126899.32,95,West,basic,0,0
1041,45,15392.59,36,South,standard,1,0
1014,27,24803.75,26,East,basic,1,0
1149,36,38147.9,67,South,premium,2,0
1132,,64849.97,27,East,premium,1,0
1068,26,47447.4,2,West,basic,1,0
1123,35,72102.65,54,East,basic,1,0
1153,28,23220.19,79,East,standard,0,0
1179,20,112845.82,32,East,standard,2,0
1122,38,23398.84,69,South,premium,3,1
1028,,67014.34,62,South,basic,2,0
1128,70,,71,South,premium,0,0
1151,61,99309.17,11,West,premium,1,0
1006,21,,49,West,premium,3,0
1114,20,18256.67,74,North,basic,1,0
1170,30,94974.96,81,East,premium,0,0
1043,,,25,North,standard,1,0
1141,71,34656.86,15,West,standard,3,1
1106,27,21355.91,74,East,basic,3,0
1049,32,55617.93,30,East,standard,5,1
1008,51,20882.63,34,East,standard,2,0
1065,70,30626.82,41,South,basic,2,0
1121,31,75501.24,34,West,premium,3,1
1007,32,46204.67,5,South,basic,3,0
1053,32,24454.05,3,South,basic,1,0
1162,33,25367.87,93,South,premium,2,0
1086,54,21938.78,8,West,basic,1,0
1009,29,33874.19,63,North,premium,0,0
1160,59,41538.67,64,South,premium,0,0
1015,48,18606.39,46,North,premium,1,0
1032,30,72741.32,91,South,standard,0,0
1109,42,39585.47,60,West,premium,1,0
1072,,58374.51,67,North,premium,1,0
1031,59,37737.26,70,East,standard,5,0
1164,70,44769.92,81,unknown,basic,0,0
1101,69,59326.03,81,East,premium,0,0
1112,47,,16,South,premium,0,0
1133,52,33231.46,28,South,standard,0,0
1124,51,33974.62,66,North,standard,2,0
1138,,29560.3,40,South,premium,0,0
1034,29,29049.65,52,South,standard,5,1
1102,46,38894.19,58,West,standard,5,1
1105,58,16934.78,55,North,premium,5,1
1095,22,93125.42,41,North,premium,1,0
1177,48,37997.77,89,East,standard,5,1
1135,30,40233.43,55,West,premium,0,0
1059,41,72534.65,65,West,basic,3,1
1044,33,21486.2,18,South,basic,5,0
1130,66,69378.42,34,East,premium,1,0
1143,29,33898.34,12,East,premium,0,0
